center,left,right,steering,throttle,gear,speed
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_029.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_029.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_029.jpg,0,0,0,3.69E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_097.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_097.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_097.jpg,0,0,0,1.96E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_177.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_177.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_177.jpg,0,0,0,3.27E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_261.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_261.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_261.jpg,0,0,0,1.06E-05
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_331.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_331.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_331.jpg,0,0,0,1.84E-05
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_411.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_411.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_411.jpg,0,0,0,5.90E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_493.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_493.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_493.jpg,0,0,0,2.84E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_564.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_564.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_564.jpg,0,0,0,2.19E-05
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_633.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_633.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_633.jpg,0,0,0,4.54E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_703.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_703.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_703.jpg,0,0,0,5.37E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_774.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_774.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_774.jpg,0,0,0,7.35E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_844.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_844.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_844.jpg,-0.2,0,0,1.50E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_925.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_925.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_925.jpg,-0.4,0,0,6.17E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_24_994.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_24_994.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_24_994.jpg,-0.5500001,0,0,4.70E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_076.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_076.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_076.jpg,0,0,0,2.38E-07
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_158.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_158.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_158.jpg,0,0,0,7.78E-07
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_241.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_241.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_241.jpg,0,0,0,5.46E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_311.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_311.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_311.jpg,0,0,0,1.80E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_380.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_380.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_380.jpg,0,0,0,7.29E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_449.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_449.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_449.jpg,0,0,0,1.96E-05
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_519.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_519.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_519.jpg,0,0,0,3.14E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_588.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_588.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_588.jpg,0,0,0,4.04E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_658.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_658.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_658.jpg,0,0,0,4.30E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_728.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_728.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_728.jpg,0,0,0,5.30E-06
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_805.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_805.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_805.jpg,0,0.05647516,0,0.01977892
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_890.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_890.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_890.jpg,0,0.2913151,0,0.2107046
CNN_Training_Images/IMG/center_2020_04_11_19_55_25_951.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_25_951.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_25_951.jpg,0,0.4463732,0,0.4619804
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_026.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_026.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_026.jpg,0,0.695514,0,1.072547
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_108.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_108.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_108.jpg,-0.05,0.9457412,0,1.879322
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_183.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_183.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_183.jpg,-0.25,1,0,2.818617
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_250.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_250.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_250.jpg,-0.4,1,0,3.511163
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_318.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_318.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_318.jpg,-0.6000001,1,0,4.423469
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_387.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_387.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_387.jpg,0,1,0,5.07568
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_457.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_457.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_457.jpg,0,1,0,5.995099
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_528.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_528.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_528.jpg,0,1,0,6.684141
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_596.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_596.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_596.jpg,0,1,0,7.596791
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_666.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_666.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_666.jpg,-0.1,1,0,8.274583
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_736.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_736.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_736.jpg,-0.3,1,0,9.152558
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_810.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_810.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_810.jpg,-0.45,1,0,9.788273
CNN_Training_Images/IMG/center_2020_04_11_19_55_26_882.jpg,CNN_Training_Images/IMG/left_2020_04_11_19_55_26_882.jpg,CNN_Training_Images/IMG/right_2020_04_11_19_55_26_882.jpg,0,1,0,10.63298
